Epoch, Log-likelihood, Accuracy, RMSE
1, -3.19854,  0.93416,  881225.72030
2, -3.45511,  0.93416,  880588.22237
3, -3.24900,  0.93416,  879698.41394
4, -3.19087,  0.93416,  878600.66174
5, -3.66324,  0.93416,  877317.67471
6, -3.74890,  0.93416,  875870.45449
7, -9.89255,  0.93416,  874267.30663
8, -3.25695,  0.93416,  872523.57378
9, -3.07944,  0.93416,  870653.82878
10, -3.70819,  0.93416,  868674.41060
11, -2.93399,  0.93416,  867655.97113
12, -2.86959,  0.93416,  866626.74801
13, -3.41306,  0.93416,  865576.49073
14, -3.08953,  0.93416,  864515.64594
15, -3.06497,  0.93416,  863438.87710
16, -3.43951,  0.93416,  862354.07143
17, -3.43736,  0.79177,  861281.77452
18, -3.53705,  0.93416,  860203.21175
19, -3.42163,  0.93416,  859128.46847
20, -3.31306,  0.93416,  858068.01531
