Epoch, Log-likelihood, Accuracy, RMSE
1,  3.67785,  0.72193,  1186.30910
2,  3.74106,  0.72193,  1238.83139
3,  3.73809,  0.59902,  1276.59280
4,  3.74438,  0.70590,  1314.11667
5,  3.75936,  0.72193,  1347.34720
6,  3.75378,  0.56492,  1335.58353
7,  3.75680,  0.29350,  1335.88999
8,  3.75262,  0.72193,  1355.84743
9,  3.75108,  0.58823,  1346.11909
10,  3.75573,  0.61038,  1363.25776
11,  3.75678,  0.48190,  1379.67802
12,  3.75564,  0.57106,  1370.64625
13,  3.75845,  0.62372,  1380.05014
14,  3.75730,  0.72193,  1394.95137
15,  3.75773,  0.72193,  1390.69110
16,  3.75861,  0.72193,  1398.58923
17,  3.75584,  0.53803,  1365.34345
18,  3.75426,  0.72193,  1434.18963
19,  3.75932,  0.72193,  1410.42535
20,  3.76040,  0.63184,  1424.48276
